UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
152275,"A",,"A",,"A",,"R",8,"R",0,"R",0,"R",8,"R",7,"R",88,"R",9,"R",0,"R",0,"R",9,"R",5,"R",56,"R",15
152309,"A",,"A",,"A",,"R",20,"R",0,"R",0,"R",20,"R",18,"R",90,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",14
152318,"R",552,"R",576,"R",96,"R",598,"R",0,"R",0,"R",598,"R",542,"R",91,"A",,"A",,"A",,"A",,"A",,"A",,"R",11
152336,"R",409,"R",602,"R",68,"R",303,"R",0,"R",0,"R",303,"R",199,"R",66,"R",4,"R",0,"R",0,"R",4,"R",1,"R",25,"R",11
152381,"R",207,"R",318,"R",65,"R",199,"R",0,"R",0,"R",199,"R",134,"R",67,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",9
152390,"R",420,"R",451,"R",93,"R",397,"R",0,"R",0,"R",397,"R",332,"R",84,"A",,"A",,"A",,"A",,"A",,"A",,"R",8
152497,"A",,"A",,"A",,"R",4,"R",0,"R",0,"R",4,"R",3,"R",75,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",8
152530,"R",561,"R",631,"R",89,"R",519,"R",4,"R",0,"R",515,"R",470,"R",91,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",14
152567,"R",680,"R",1997,"R",34,"R",649,"R",0,"R",0,"R",649,"R",554,"R",85,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",18
152600,"R",595,"R",725,"R",82,"R",603,"R",0,"R",0,"R",603,"R",475,"R",79,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",11
152628,"A",,"A",,"A",,"R",10,"R",0,"R",0,"R",10,"R",10,"R",100,"R",10,"R",0,"R",0,"R",10,"R",9,"R",90,"R",10
152637,"R",1113,"R",11007,"R",10,"R",29,"R",0,"R",0,"R",29,"R",15,"R",52,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",25
152673,"R",229,"R",235,"R",97,"R",258,"R",1,"R",0,"R",257,"R",220,"R",86,"A",,"A",,"A",,"A",,"A",,"A",,"R",9
152798,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",8
152992,"R",152,"R",306,"R",50,"R",174,"R",0,"R",0,"R",174,"R",105,"R",60,"A",,"A",,"A",,"A",,"A",,"A",,"R",12
153001,"R",217,"R",408,"R",53,"R",236,"R",0,"R",0,"R",236,"R",180,"R",76,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",13
153074,"A",,"A",,"A",,"R",36,"R",0,"R",0,"R",36,"R",31,"R",86,"A",,"A",,"A",,"A",,"A",,"A",,"R",9
153083,"A",,"A",,"A",,"R",22,"R",0,"R",0,"R",22,"R",16,"R",73,"A",,"A",,"A",,"A",,"A",,"A",,"R",12
153108,"R",274,"R",329,"R",83,"R",351,"R",0,"R",0,"R",351,"R",255,"R",73,"A",,"A",,"A",,"A",,"A",,"A",,"R",12
153126,"R",199,"R",379,"R",53,"R",193,"R",0,"R",0,"R",193,"R",130,"R",67,"A",,"A",,"A",,"A",,"A",,"A",,"R",10
153144,"R",359,"R",454,"R",79,"R",363,"R",1,"R",0,"R",362,"R",277,"R",77,"A",,"A",,"A",,"A",,"A",,"A",,"R",11
153162,"R",298,"R",346,"R",86,"R",329,"R",0,"R",0,"R",329,"R",244,"R",74,"A",,"A",,"A",,"A",,"A",,"A",,"R",12
153214,"R",1702,"R",10161,"R",17,"R",1662,"R",0,"R",0,"R",1662,"R",1038,"R",62,"R",1023,"R",0,"R",0,"R",1023,"R",463,"R",45,"R",21
153241,"R",3,"R",12,"R",25,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",5
153250,"R",458,"R",613,"R",75,"R",438,"R",0,"Z",0,"R",438,"R",373,"R",85,"R",4,"R",0,"Z",0,"R",4,"R",2,"R",50,"R",14
153269,"R",638,"R",748,"R",85,"R",709,"R",0,"R",0,"R",709,"R",595,"R",84,"R",2,"R",0,"R",0,"R",2,"R",1,"R",50,"R",10
153278,"R",320,"R",455,"R",70,"R",316,"R",1,"R",0,"R",315,"R",225,"R",71,"R",2,"R",0,"R",0,"R",2,"R",2,"R",100,"R",11
153296,"R",211,"R",363,"R",58,"R",243,"R",1,"R",0,"R",242,"R",133,"R",55,"R",8,"R",0,"R",0,"R",8,"R",2,"R",25,"R",17
153302,"R",52,"R",73,"R",71,"R",37,"R",0,"R",0,"R",37,"R",26,"R",70,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",8
153311,"R",537,"R",2631,"R",20,"R",542,"R",0,"R",0,"R",542,"R",339,"R",63,"R",221,"R",0,"R",0,"R",221,"R",104,"R",47,"R",19
153320,"R",122,"R",236,"R",52,"R",60,"R",0,"R",0,"R",60,"R",48,"R",80,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",15
153366,"R",238,"R",352,"R",68,"R",202,"R",0,"R",0,"R",202,"R",130,"R",64,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",14
153375,"R",335,"R",516,"R",65,"R",330,"R",1,"R",0,"R",329,"R",240,"R",73,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",12
153384,"R",457,"R",493,"R",93,"R",437,"R",2,"R",0,"R",435,"R",405,"R",93,"A",,"A",,"A",,"A",,"A",,"A",,"R",9
